# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.07%  server   libc-2.19.so         [.] 0x0000000000098005                        
     0.07%  server   libc-2.19.so         [.] 0x000000000007fd98                        
     0.07%  server   server               [.] 0x0000000000006527                        
     0.07%  server   libpthread-2.19.so   [.] 0x000000000000b7c0                        
     0.07%  server   [kernel.kallsyms]    [k] sock_release                              
     0.07%  server   [kernel.kallsyms]    [k] tcp_cleanup_rbuf                          
     0.07%  server   [kernel.kallsyms]    [k] sockfd_lookup_light                       
     0.07%  server   server               [.] 0x000000000000dc51                        
     0.07%  server   [kernel.kallsyms]    [k] udp_queue_rcv_skb                         
     0.07%  server   libstdc++.so.6.0.21  [.] 0x0000000000066070                        
     0.07%  server   libc-2.19.so         [.] 0x00000000000980c1                        
     0.07%  server   [kernel.kallsyms]    [k] copy_to_iter                              
     0.07%  server   libpthread-2.19.so   [.] 0x000000000000b7c3                        
     0.07%  server   [kernel.kallsyms]    [k] ip_local_deliver                          
     0.07%  server   [kernel.kallsyms]    [k] lockref_put_return                        
     0.07%  server   server               [.] 0x0000000000006bf3                        
     0.07%  server   server               [.] 0x000000000000af41                        
     0.07%  server   [kernel.kallsyms]    [k] memset_erms                               
     0.07%  server   [kernel.kallsyms]    [k] ip_finish_output                          
     0.07%  server   [kernel.kallsyms]    [k] rcu_bh_qs                                 
     0.07%  server   [kernel.kallsyms]    [k] update_rq_clock.part.79                   
     0.07%  server   [kernel.kallsyms]    [k] place_entity                              
     0.07%  server   libc-2.19.so         [.] 0x0000000000160060                        
     0.07%  server   server               [.] 0x0000000000004054                        
     0.07%  server   [kernel.kallsyms]    [k] release_sock                              
     0.07%  server   [kernel.kallsyms]    [k] tcp_data_queue                            
     0.07%  server   [kernel.kallsyms]    [k] tcp_release_cb                            
     0.06%  server   [kernel.kallsyms]    [k] __update_entity_load_avg_contrib          
     0.06%  server   libstdc++.so.6.0.21  [.] 0x0000000000065740                        
     0.06%  server   [kernel.kallsyms]    [k] lock_timer_base.isra.22                   
     0.06%  server   libpthread-2.19.so   [.] 0x000000000000f08a                        
     0.06%  server   [kernel.kallsyms]    [k] sk_forced_mem_schedule                    
     0.06%  server   [kernel.kallsyms]    [k] sk_free                                   
     0.06%  server   server               [.] 0x00000000000092a9                        
